cust_number,due_date,clear_date,date_diff(cd-dd)
200980828,15-01-2019,04-01-2019,-11
100033558,03-02-2019,07-01-2019,-27
100058044,19-01-2019,07-01-2019,-12
100053798,07-01-2019,09-01-2019,2
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200769623,14-01-2019,09-01-2019,-5
200020431,08-01-2019,10-01-2019,2
200020431,08-01-2019,10-01-2019,2
200020431,08-01-2019,10-01-2019,2
200230690,11-01-2019,10-01-2019,-1
200230690,08-01-2019,10-01-2019,2
200230690,11-01-2019,10-01-2019,-1
200353024,08-01-2019,10-01-2019,2
200353024,11-01-2019,10-01-2019,-1
200353024,11-01-2019,10-01-2019,-1
200353024,11-01-2019,10-01-2019,-1
200592182,08-01-2019,10-01-2019,2
200592182,11-01-2019,10-01-2019,-1
200592182,08-01-2019,10-01-2019,2
200592182,08-01-2019,10-01-2019,2
200769623,15-01-2019,10-01-2019,-5
200769623,15-01-2019,10-01-2019,-5
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200769623,15-01-2019,10-01-2019,-5
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200769623,15-01-2019,10-01-2019,-5
200769623,15-01-2019,10-01-2019,-5
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200769623,14-01-2019,10-01-2019,-4
200769623,15-01-2019,10-01-2019,-5
200769623,14-01-2019,10-01-2019,-4
200803720,11-01-2019,10-01-2019,-1
200803720,11-01-2019,10-01-2019,-1
200803720,08-01-2019,10-01-2019,2
200803720,11-01-2019,10-01-2019,-1
200803720,11-01-2019,10-01-2019,-1
200353024,11-01-2019,11-01-2019,0
200353024,11-01-2019,11-01-2019,0
200416837,11-01-2019,11-01-2019,0
200416837,11-01-2019,11-01-2019,0
200416837,11-01-2019,11-01-2019,0
200416837,11-01-2019,11-01-2019,0
200416837,08-01-2019,11-01-2019,3
200416837,11-01-2019,11-01-2019,0
200457993,20-01-2019,11-01-2019,-9
200721530,14-01-2019,11-01-2019,-3
200744019,14-01-2019,11-01-2019,-3
200744019,14-01-2019,11-01-2019,-3
200744019,14-01-2019,11-01-2019,-3
200769623,16-01-2019,11-01-2019,-5
200769623,15-01-2019,11-01-2019,-4
200769623,16-01-2019,11-01-2019,-5
200769623,16-01-2019,11-01-2019,-5
200769623,15-01-2019,11-01-2019,-4
200769623,16-01-2019,11-01-2019,-5
200769623,16-01-2019,11-01-2019,-5
200769623,16-01-2019,11-01-2019,-5
200769623,15-01-2019,11-01-2019,-4
200769623,15-01-2019,11-01-2019,-4
200769623,15-01-2019,11-01-2019,-4
200769623,16-01-2019,11-01-2019,-5
200769623,15-01-2019,11-01-2019,-4
200769623,16-01-2019,11-01-2019,-5
200769623,15-01-2019,11-01-2019,-4
